radio_range_m,trajectory_step_m,receiver_id,receiver_x_m,receiver_y_m,anchor_x_m,anchor_y_m,rssi_dbm,source_file
10,10,72,44.928274935363135,76.90605549333117,48.448716856,77.607570419,-40,10mRange-10m.csv
10,10,93,41.3479382708548,81.68425367898861,48.448716856,77.607570419,-79,10mRange-10m.csv
10,10,89,32.975891421199336,72.77123320376357,38.130917527,76.26170039,-62,10mRange-10m.csv
10,10,72,44.928274935363135,76.90605549333117,38.130917527,76.26170039,-68,10mRange-10m.csv
10,10,93,41.3479382708548,81.68425367898861,38.130917527,76.26170039,-63,10mRange-10m.csv
10,10,89,32.975891421199336,72.77123320376357,26.915990976,74.467317954,-63,10mRange-10m.csv
10,10,62,24.184223284077667,66.8223773760004,26.915990976,74.467317954,-79,10mRange-10m.csv
10,10,27,24.293090907480718,66.48178135202865,26.915990976,74.467317954,-81,10mRange-10m.csv
10,10,1,23.394410994734393,77.2025710810577,26.915990976,74.467317954,-47,10mRange-10m.csv
10,10,7,27.026689332924004,81.855708540662,26.915990976,74.467317954,-72,10mRange-10m.csv
10,10,99,23.432826384556027,83.26516493290637,26.915990976,74.467317954,-90,10mRange-10m.csv
10,10,1,23.394410994734393,77.2025710810577,16.59819165,73.570182231,-75,10mRange-10m.csv
10,10,23,6.95202093839784,75.88458382741688,16.59819165,73.570182231,-94,10mRange-10m.csv
10,10,30,13.354630576202453,82.91467734831183,16.59819165,73.570182231,-94,10mRange-10m.csv
10,10,73,9.151085032812478,75.0068726315344,16.59819165,73.570182231,-74,10mRange-10m.csv
10,10,2,8.140090528173738,67.34379514616491,7.177603171,70.87855175,-41,10mRange-10m.csv
10,10,23,6.95202093839784,75.88458382741688,7.177603171,70.87855175,-52,10mRange-10m.csv
10,10,73,9.151085032812478,75.0068726315344,7.177603171,70.87855175,-48,10mRange-10m.csv
10,10,16,4.61378504642923,74.01650141800343,7.177603171,70.87855175,-44,10mRange-10m.csv
10,10,16,4.61378504642923,74.01650141800343,-3.588759771,69.532791797,-89,10mRange-10m.csv
10,10,16,4.61378504642923,74.01650141800343,7.177603171,82.542091086,-85,10mRange-10m.csv
10,10,23,6.95202093839784,75.88458382741688,7.177603171,82.542091086,-66,10mRange-10m.csv
10,10,73,9.151085032812478,75.0068726315344,7.177603171,82.542091086,-76,10mRange-10m.csv
10,10,30,13.354630576202453,82.91467734831183,7.177603171,82.542091086,-62,10mRange-10m.csv
10,10,31,11.887909489516545,90.00616150416243,7.177603171,82.542091086,-85,10mRange-10m.csv
10,10,13,11.522482214968143,89.24014515675191,7.177603171,82.542091086,-77,10mRange-10m.csv
10,10,1,23.394410994734393,77.2025710810577,17.495402496,83.887848626,-85,10mRange-10m.csv
10,10,31,11.887909489516545,90.00616150416243,17.495402496,83.887848626,-80,10mRange-10m.csv
10,10,7,27.026689332924004,81.855708540662,17.495402496,83.887848626,-92,10mRange-10m.csv
10,10,13,11.522482214968143,89.24014515675191,17.495402496,83.887848626,-78,10mRange-10m.csv
10,10,30,13.354630576202453,82.91467734831183,17.495402496,83.887848626,-46,10mRange-10m.csv
10,10,99,23.432826384556027,83.26516493290637,17.495402496,83.887848626,-60,10mRange-10m.csv
10,10,51,17.080548444391376,88.60979907956614,17.495402496,83.887848626,-50,10mRange-10m.csv
10,10,54,25.3489924152995,89.14749480760696,17.495402496,83.887848626,-90,10mRange-10m.csv
10,10,70,24.460591073651518,86.4112918808914,17.495402496,83.887848626,-72,10mRange-10m.csv
10,10,7,27.026689332924004,81.855708540662,28.261765438,86.130851522,-47,10mRange-10m.csv
10,10,54,25.3489924152995,89.14749480760696,28.261765438,86.130851522,-45,10mRange-10m.csv
10,10,70,24.460591073651518,86.4112918808914,28.261765438,86.130851522,-42,10mRange-10m.csv
10,10,99,23.432826384556027,83.26516493290637,28.261765438,86.130851522,-57,10mRange-10m.csv
10,10,11,24.19050449510065,92.24728952983763,28.261765438,86.130851522,-72,10mRange-10m.csv
10,10,93,41.3479382708548,81.68425367898861,39.028128377,86.579474284,-56,10mRange-10m.csv
10,10,86,43.88298600678198,89.15206265923695,39.028128377,86.579474284,-56,10mRange-10m.csv
10,10,47,45.81949461936938,87.87177903328515,39.028128377,86.579474284,-68,10mRange-10m.csv
10,10,86,43.88298600678198,89.15206265923695,48.000069619,89.271098942,-45,10mRange-10m.csv
10,10,47,45.81949461936938,87.87177903328515,48.000069619,89.271098942,-32,10mRange-10m.csv
10,10,29,52.51179803085078,83.82332790737001,48.000069619,89.271098942,-70,10mRange-10m.csv
10,10,10,55.0401300866643,88.19389954679203,48.000069619,89.271098942,-70,10mRange-10m.csv
10,10,10,55.0401300866643,88.19389954679203,58.76643256,90.616855236,-47,10mRange-10m.csv
10,10,90,61.26142526635307,82.46634202569989,58.76643256,90.616855236,-82,10mRange-10m.csv
10,10,29,52.51179803085078,83.82332790737001,58.76643256,90.616855236,-88,10mRange-10m.csv
10,10,45,57.9013204635908,80.6741106715585,58.76643256,90.616855236,-94,10mRange-10m.csv
10,10,35,61.7962980539757,97.06170900448325,58.76643256,90.616855236,-70,10mRange-10m.csv
10,10,35,61.7962980539757,97.06170900448325,69.084231886,91.06547772,-90,10mRange-10m.csv
10,10,14,77.70552616687321,93.57236513599435,69.084231886,91.06547772,-86,10mRange-10m.csv
10,10,21,68.78755484289849,91.92607865275068,69.084231886,91.06547772,-17,10mRange-10m.csv
10,10,50,76.05584387850438,97.93673672213878,69.084231886,91.06547772,-93,10mRange-10m.csv
10,10,85,79.35793391386238,91.54391897149424,81.196369287,93.757100714,-34,10mRange-10m.csv
10,10,14,77.70552616687321,93.57236513599435,81.196369287,93.757100714,-39,10mRange-10m.csv
10,10,50,76.05584387850438,97.93673672213878,81.196369287,93.757100714,-66,10mRange-10m.csv
10,10,44,94.37926344604114,99.4931820206754,92.859943079,94.654233941,-53,10mRange-10m.csv
10,20,84,15.153189864495554,4.743070324879484,19.286996256,2.916256344,-48,10mRange-20m.csv
10,20,43,18.30563092198728,4.37596549492233,19.286996256,2.916256344,-24,10mRange-20m.csv
10,20,28,13.282103691767466,1.5008064727816683,19.286996256,2.916256344,-62,10mRange-20m.csv
10,20,20,44.36040500397955,5.649448385118882,39.022548704,6.729640734,-56,10mRange-20m.csv
10,20,52,55.273871150586764,11.699051238223767,58.309544959,9.645894374,-41,10mRange-20m.csv
10,20,9,57.01191069424267,14.812878128951612,58.309544959,9.645894374,-55,10mRange-20m.csv
10,20,82,62.38790479066951,16.208580696938746,58.309544959,9.645894374,-75,10mRange-20m.csv
10,20,38,76.10226034176003,21.074468991190077,77.372263122,12.337725576,-85,10mRange-20m.csv
10,20,74,86.22355894721106,9.195276420848252,77.372263122,12.337725576,-89,10mRange-20m.csv
10,20,49,82.24892997995487,9.53922449037906,77.372263122,12.337725576,-57,10mRange-20m.csv
10,20,97,82.27091886845992,7.003098548773757,77.372263122,12.337725576,-71,10mRange-20m.csv
10,20,33,78.34038367867724,2.5114318570927607,77.372263122,12.337725576,-93,10mRange-20m.csv
10,20,87,96.73925960102402,18.687530346538704,97.556288132,13.907895045,-51,10mRange-20m.csv
10,20,59,96.67983632757753,32.01582122346479,97.10781557,32.975213385,-18,10mRange-20m.csv
10,20,48,90.65933632009188,35.11080912107736,97.10781557,32.975213385,-67,10mRange-20m.csv
10,20,38,76.10226034176003,21.074468991190077,76.250872651,29.161731459,-78,10mRange-20m.csv
10,20,65,76.4230334066004,24.701041056812056,76.250872651,29.161731459,-47,10mRange-20m.csv
10,20,92,77.03681808073243,25.207706691512975,76.250872651,29.161731459,-44,10mRange-20m.csv
10,20,66,75.2117514961178,24.512722550646536,76.250872651,29.161731459,-50,10mRange-20m.csv
10,20,96,68.65174385138815,27.813157863471705,76.250872651,29.161731459,-75,10mRange-20m.csv
10,20,57,55.813936465893185,26.298759890675793,56.291125733,28.264493689,-27,10mRange-20m.csv
10,20,79,46.838912083513286,26.992232369983526,56.291125733,28.264493689,-91,10mRange-20m.csv
10,20,8,42.133486596064785,29.763354339444604,35.882739004,24.002390127,-82,10mRange-20m.csv
